BNC	TAG_ING	ING	VERB_LEMMA	ING_LEMMA
ED9	VVG	regulating	pressurise	regulate
EDD	VVG	deciding	pressure	decide
EDE	VVG	believing	bamboozle	believe
EDF	VVG	fighting	mislead	fight
EDG	VVG	buying	talk	buy
EDH	VVG	thinking	deceive	think
EDH	NN1-VVG	accepting	socialise	accept
EDM	VVG	becoming	talk	become
EDM	NN1	engineering	draw	engineer
EDM	NN1-VVG	teaching	lead	teach
EDM	NN1-VVG	performing	force	perform
EDN	VVG	believing	deceive	believe
EDP	VVG	relying	pressure	rely
EDP	NN1-VVG	undertaking	propel	undertake
EDU	VVG	increasing	push	increase
EDY	VVG	abolishing	coerce	abolish
EEE	VVG	seizing	panick	seize
EEF	VVG	putting	lure	put
EEF	NN1-VVG	undertaking	coerce	undertake
EEF	NN1-VVG	undertaking	cajole	undertake
EEM	VVG	believing	deceive	believe
EEY	VVG	passing	persuade	pass
EF2	NN1-VVG	helping	coax	help
EF4	VBG	being	conjure	be
EF7	VVG	allowing	talk	allow
EFA	AJ0-VVG	sending	talk	send
EFB	VVG	participating	brainwash	participate
EFD	VVG	asking	provoke	ask
EFD	VVG	changing	pressure	change
EFF	VVG	accepting	fool	accept
EFF	VVG	thinking	con	think
EFG	VVG	tidying	nag	tidy
EFH	VVG	writing	bully	write
EFN	VVG	agreeing	seduce	agree
EFP	VVG	cowering	shame	cower
EFR	VVG	giving	delude	give
EFX	VVG	escorting	inveigle	escort
EUU	VVG	selling	cajole	sell
EUU	VVG	selling	entice	sell
EUU	VVG	giving	talk	give
EUU	VDG	doing	coax	do
EUU	VVG	attending	push	attend
EUU	VVG	buying	persuade	buy
EUU	VVG	suggesting	lead	suggest
EUU	VVG	investing	push	invest
EUU	AJ0-VVG	buying	press	buy
EUU	NN1-VVG	buying	wheedle	buy
EV1	VBG	being	compel	be
EV9	AJ0-VVG	studying	attract	study
EVC	NN1-VVG	helping	dragoon	help
EVG	VVG	shouting	frighten	shout
EVJ	VVG	joining	coax	join
EVJ	VVG	joining	bribe	join
EVJ	VVG	joining	fight	join
EVJ	NN1-VVG	printing	push	print
EVK	VVG	revealing	surprise	reveal
EVK	VVG	confessing	pressurise	confess
EVP	VVG	acceding	overawe	accede
EW5	VVG	buying	motivate	buy
EW5	VVG	resolving	motivate	try
EW5	NN1-VVG	buying	motivate	buy
EW8	VVG	producing	trigger	produce
EW8	NN1-VVG	producing	trigger	produce
EWA	VVG	taking	lead	take
EWC	VVG	going	bully	go
EWC	VVG	going	persuade	go
EWH	VVG	believing	lull	believe
EWH	NN1-VVG	going	blackmail	go
EWX	VVG	believing	divert	believe
EX0	NN1-VVG	buying	rush	buy
EX2	VDG	doing	draw	do
EX5	VVG	thinking	mislead	think
EX5	VVG	running	encourage	run
EX5	VVG	running	coerce	run
EX5	VVG	taking	pressure	take
EX6	VVG	defining	lead	define
F8L	VVG	thinking	fool	think
F9C	VVG	thinking	fool	think
F9C	VVG	using	talk	use
F9D	VVG	reading	lure	read
F9E	VVG	producing	push	produce
F9E	VVG	developing	stimulate	develop
F9F	VVG	thinking	deceive	think
F9L	VVG	swearing	cow	swear
F9L	NN1-VVG	acquiescing	coerce	acquiesce
F9N	VVG	betraying	manipulate	betray
F9N	VVG	betraying	threaten	betray
F9N	VVG	using	cajole	use
F9P	VVG	giving	scare	give
F9R	VDG	doing	drive	do
F9R	VVG	changing	bully	change
F9R	VVG	winding	wheedle	wind
F9R	AJ0-VVG	uttering	drive	utter
FA2	VVG	joining	talk	join
FA5	VVG	attending	dragoon	attend
FA6	VBG	being	mature	be
FA7	VVG	suppressing	frighten	suppress
FAB	VVG	ringing	talk	ring
FAF	VVG	meeting	shame	meet
FAM	VDG	doing	coerce	do
FB0	VVG	seeing	startle	see
FB0	NN1-VVG	prodding	provoke	produce
FB1	NN1-VVG	hiding	drive	hide
FB5	AJ0-VVG	re-imposing	force	re-impose
FB7	VVG	posing	delude	pose
FBD	VVG	accepting	force	accept
FBM	VVG	thinking	fool	think
FBM	VVG	adopting	coerce	adopt
FBN	VVG	buying	con	buy
FBP	VDG	doing	spur	do
FBP	VVG	taking	push	take
FCC	VDG	doing	trick	do
FCC	VVG	providing	mislead	provide
FCC	VVG	providing	trick	provide
FCC	VDG	doing	trick	do
FCC	VDG	doing	trick	do
FD7	VVG	signing	trick	sign
FD7	VVG	signing	trick	sign
FD7	VVG	signing	trick	sign
FD7	VVG	signing	trick	sign
FD7	AJ0-VVG	signing	trick	sign
FE2	VVG	authorising	deceive	authorise
FE2	VVG	transferring	deceive	transfer
FE2	VVG	handing	deceive	hand
FE2	NN1-VVG	parting	trick	part
FE2	AJ0-VVG	transferring	deceive	transfer
FEE	VDG	doing	cajole	do
FEP	NN1-VVG	writing	throw	write
FES	VVG	leaving	flatter	leave
FES	VVG	believing	mislead	believe
FES	NN1-VVG	recruiting	throw	recruit
FF0	VVG	seeing	trick	see
FF0	VVG	giving	trick	give
FNT	NN1-VVG	responding	goad	respond
FNU	VVG	discussing	lead	discuss
FNU	VVG	giving	bully	give
FNU	VBG	being	coax	be
FNX	VVG	bringing	blackmail	bring
FNX	VVG	giving	embarrass	give
FP1	VVG	accepting	josh	accept
FP3	VVG	trusting	lull	trust
FP7	VVG	covering	con	cover
FP7	VVG	thinking	fool	think
FP8	VVG	thinking	mislead	think
FP9	AJ0-VVG	producing	draw	produce
FPA	VVG	making	bully	make
FPA	VVG	making	inveigle	make
FPA	VVG	making	shame	make
FPD	AJ0-VVG	shaking	dragoon	shake
FPH	VVG	singing	coax	sing
FPJ	VVG	expressing	lock	express
FPJ	VVG	joining	cajole	join
FPK	VVG	believing	bully	believe
FPM	VVG	taking	fool	take
FPS	VVG	cocking	blackmail	cock
FPS	NN1-VVG	hiding	force	hide
FPX	VVG	taking	inveigle	take
FR1	VVG	making	force	make
FR1	VVG	giving	cajole	give
FR5	VVG	signing	pressure	sign
FR6	VVG	marrying	trick	marry
FR9	VVG	believing	bluff	believe
FRE	NN1-VVG	replying	trap	reply
FRF	VVG	making	bully	make
FRJ	VVG	thinking	fool	think
FRJ	VVG	convincing	prod	convince
FRJ	VVG	vying	distract	vy
FRS	VVG	coming	talk	come
FS0	VVG	believing	dupe	believe
FSG	VVG	talking	coax	talk
FSM	NN1-VVG	responding	pressure	respond
FT2	VVG	prompting	phase	prompt
FT3	VVG	taking	tempt	take
FT3	VVG	taking	bribe	take
FT6	VVG	agreeing	force	agree
FT7	VVG	producing	aggravate	produce
FT9	VVG	believing	con	believe
FTW	VVG	becoming	catalyse	become
FTX	VVG	thinking	mislead	think
FTY	AJ0-VVG	offering	tempt	offer
FU7	VVG	recognising	shock	recognise
FUJ	VVG	having	scare	have
FYP	VVG	speaking	collar	speak
G00	VVG	thinking	fool	think
G04	VVG	launching	persuade	launch
G05	NN1-VVG	building	coerce	build
G07	VVG	thinking	shame	think
G07	VVG	taking	bully	take
G07	VVG	going	talk	go
G07	VVG	giving	shame	give
G0E	VVG	giving	talk	give
G0E	VVG	believing	trick	believe
G0F	VVG	believing	brainwash	believe
G0G	VVG	defining	lead	define
G0G	VVG	thinking	mislead	think
G0G	VVG	granting	deceive	grant
G0M	VVG	bristling	prick	bristle
G0M	NN1-VVG	helping	trick	help
G0M	NN1-VVG	helping	trick	help
G0R	VVG	grappling	galvanise	grapple
G0S	AJ0-VVG	sailing	press-gang	sail
G0S	NN1-VVG	replying	provoke	reply
G0T	VVG	giving	beat	give
G0U	VVG	behaving	coerce	behave
G0U	VVG	behaving	condition	behave
G0V	AJ0-VVG	buying	persuade	buy
G0W	VVG	taking	lead	take
G0W	VVG	teaching	stereotype	teach
G10	VVG	giving	charm	give
G14	VVG	taking	fool	take
G15	VVG	changing	beat	change
G15	VVG	keeping	tickle	keep
G15	AJ0-VVG	thinking	mislead	think
G17	NN1-VVG	leaving	goad	leave
G1B	VVG	believing	talk	believe
G1B	VVG	killing	goad	kill
G1B	VVG	giving	con	give
G1G	VVG	accepting	coerce	accept
G1H	VVG	bringing	panick	bring
G1H	VVG	adopting	galvanise	adopt
G1K	VBG	being	terrify	be
G1R	VVG	reversing	pressurise	reverse
G1R	VVG	rejecting	pressurise	reject
G1S	VVG	talking	draw	talk
G1U	VVG	deputizing	pressure	deputize
G1W	VDG	doing	inveigle	do
G27	VVG	running	push	run
G2E	VVG	eating	trap	eat
G2J	VVG	becoming	hijack	become
G2J	VVG	tacking	pressure	tack
G2V	VVG	believing	delude	believe
G2W	VVG	removing	humble	remove
G30	NN1-VVG	buying	pressure	buy
G33	VVG	leaving	encourage	leave
G33	VVG	leaving	coerce	leave
G35	VVG	taking	tease	take
G35	VVG	thinking	brainwash	think
G35	VVG	staying	brainwash	stay
G35	VVG	riding	talk	ride
G36	NN1-VVG	dieting	pressurise	diet
G36	NN1-VVG	slimming	pressurise	slim
G3C	VVG	giving	intimidate	give
G3C	VVG	thinking	deceive	think
G3D	VVG	believing	delude	believe
G3F	VVG	purchasing	motivate	purchase
G3G	VVG	taking	talk	take
G3G	NN1-VVG	making	tempt	make
G3P	VVG	wearing	talk	wear
G4H	VDG	doing	lead	do
GSX	VVG	providing	dragoon	provide
GT3	NN1-VVG	nursing	lead	nurse
GT5	VVG	applying	spur	apply
GT6	AJ0-VVG	daring	tempt	dare
GT7	AJ0-VVG	recruiting	charm	recruit
GTB	VVG	carving	lead	carve
GTG	VVG	supporting	draw	support
GTH	VVG	joining	bully	join
GU6	VVG	using	lead	use
GU6	VVG	reviewing	lead	review
GU8	VDG	doing	manipulate	do
GU8	VDG	doing	force	do
GU9	VVG	facing	shock	face
GUE	VVG	trying	lead	try
GUF	VVG	marrying	blackmail	marry
GUK	VVG	staying	strike	stay
GUK	NN1-VVG	lingering	stroke	linger
GUK	NN1-VVG	lingering	stroke	stay
GUN	VVG	taking	push	take
GUN	VVG	paying	pitch	pay
GUP	NN1-VVG	talking	trap	talk
GUR	VBG	being	force	be
GUR	VVG	getting	bully	get
GUU	VVG	revealing	trick	reveal
GUX	VVG	telling	coax	tell
GUX	VVG	taking	deceive	take
GV2	VVG	going	trick	go
GV2	VVG	going	trick	go
GV2	VVG	going	fool	go
GV2	AJ0-VVG	believing	confuse	believe
GV5	VHG	having	embarrass	have
GVC	VVG	making	trick	make
GVC	VVG	playing	talk	play
GVD	VVG	beginning	chivvy	begin
GVF	VVG	leaving	trap	leave
GVL	VVG	taking	prod	take
GVN	VVG	believing	indoctrinate	believe
GVN	VVG	believing	indoctrinate	believe
GVN	VVG	following	coerce	follow
GVP	VVG	taking	inveigle	take
GVP	VVG	questioning	trick	question
GVP	VVG	defying	manipulate	defy
GVR	VVG	breaking	provoke	break
GVR	VVG	using	provoke	use
GVR	VVG	using	provoke	use
GVR	VVG	breaking	provoke	break
GVR	VVG	responding	provoke	respond
GVR	VVG	taking	coerce	take
GVR	VVG	thinking	lead	think
GVS	VVG	thinking	deceive	think
GVT	NN1-VVG	going	badger	go
GVV	NN1-VVG	uniting	terrorise	unite
GW0	VVG	telling	guide	tell
GW0	VVG	giving	corner	give
GW0	VDG	doing	talk	do
GW1	VVG	giving	reason	give
GW2	NN1-VVG	making	provoke	make
GW4	VVG	positing	seduce	posit
GW6	VVG	thinking	mislead	think
GW9	VVG	coming	sucker	come
GWG	VVG	writing	push	write
GXA	NN1-VVG	banking	lead	bank
GXG	VVG	becoming	induce	become
GY4	VVG	thinking	trick	think
H07	NN1	bottle-feeding	pressurise	bottle-feed
H0D	VVG	liking	soften	like
H0M	VVG	thinking	psych	think
H10	VVG	thinking	delude	think
H7A	VVG	believing	trick	believe
H7A	VVG	getting	bully	get
H7F	VVG	letting	talk	let
H7K	VVG	avoiding	brainwash	avoid
H7K	VVG	thinking	brainwash	think
H7K	VVG	thinking	brainwash	think
H7V	VVG	staying	frighten	stay
H7W	VVG	saying	goad	say
H7W	VVG	sailing	blackmail	sail
H7W	VVG	accepting	nudge	accept
H7W	VVG	working	force	work
H7W	VVG	accepting	bully	accept
H7X	VVG	developing	provoke	develop
H7X	VVG	making	provoke	make
H80	VVG	seeing	convince	see
H84	VVG	criticising	draw	criticise
H85	VVG	acting	frighten	act
H86	VVG	making	harass	make
H86	VVG	believing	con	believe
H88	VVG	expecting	socialise	expect
H88	VVG	adopting	induce	adopt
H88	VVG	believing	seduce	believe
H8A	VVG	hanging	manoeuvre	hang
H8J	VVG	thinking	deceive	think
H8L	VVG	believing	hypnotise	believe
H8M	VVG	arguing	trap	argue
H8M	VVG	pulling	sting	pull
H8S	VVG	signing	hurry	sign
H8S	VVG	caring	talk	car
H8T	VVG	giving	sting	give
H8T	VVG	believing	mislead	believe
H8W	VVG	supporting	drive	support
H8X	VVG	showing	bully	show
H90	VVG	leaving	panick	leave
H91	NN1-VVG	signing	con	sign
H94	VBG	being	goad	be
H95	VVG	inquiring	sway	inquire
H97	VVG	working	press-gang	work
H9C	VVG	collecting	bully	collect
H9D	NN1-VVG	opening	panick	open
H9H	VVG	thinking	fool	think
H9H	VVG	thinking	trick	think
H9J	VVG	consuming	fool	consume
H9L	VVG	accepting	lull	accept
H9L	VVG	facing	shock	face
H9L	VVG	yielding	seduce	yield
H9L	NN1-VVG	helping	bribe	help
H9M	VVG	changing	fool	change
H9M	VVG	believing	fool	believe
H9M	VVG	supplying	fool	supply
H9M	AJ0-VVG	supplying	fool	supply
H9N	VVG	showing	lure	show
H9N	VVG	buying	blackmail	buy
H9S	VVG	underexposing	trick	underexpose
H9V	VVG	confiding	needle	confide
H9V	VVG	thinking	fool	think
H9V	NN1-VVG	answering	startle	answer
H9W	VVG	thinking	lull	think
H9W	VBG	being	terrify	be
H9W	VVG	making	annoy	make
H9X	VVG	writing	bounce	write
H9Y	VVG	thinking	fool	think
H9Y	VVG	staring	reduce	star
HA1	VVG	using	cajole	use
HA1	VVG	realizing	shock	realize
HA5	VVG	believing	deceive	believe
HA5	VVG	giving	seduce	give
HA5	VVG	playing	trap	play
HA5	VVG	staying	trap	stay
HA5	VVG	taking	inveigle	take
HA7	VVG	thinking	lead	think
HA9	VDG	doing	goad	do
HA9	VVG	making	force	make
HAC	VVG	thinking	fool	think
HAC	VVG	thinking	mislead	think
HAC	VVG	sending	influence	send
HAC	VVG	thinking	fool	think
HAC	VVG	using	tempt	use
HAE	VVG	believing	mislead	believe
HAF	VVG	thinking	fool	think
HAF	VVG	paying	trick	pay
HAU	VVG	defending	make	defend
HAW	VVG	giving	badger	give
HB4	AJ0-VVG	conceding	bully	concede
HC7	VVG	discussing	lead	discuss
HCK	VVG	changing	prod	change
HD6	VVG	marrying	trick	marry
HD7	VVG	taking	push	take
HDC	VVG	giving	shock	give
HDC	AJ0-VVG	running	draw	run
HDC	AJ0-VVG	delivering	coerce	deliver
HDL	AJ0-VVG	running	initiate	run
HDU	VVG	accepting	force	accept
HF2	VVG	coming	hoodwink	come
HGD	VVG	following	pressurise	follow
HGD	VBG	being	manoeuvre	be
HGD	VVG	seeing	force	see
HGK	VBG	being	coax	be
HGK	VVG	coming	pressurise	come
HGK	VVG	allowing	manoeuvre	allow
HGM	VVG	giving	provoke	give
HGM	VVG	getting	lie	get
HGM	VVG	getting	cheat	get
HGM	VVG	thinking	fool	think
HGM	VVG	becoming	blackmail	become
HGM	VBG	being	blackmail	be
HGM	VVG	marrying	blackmail	marry
HGM	VVG	agreeing	blackmail	agree
HGM	VVG	marrying	force	marry
HGM	VVG	becoming	bully	become
HGN	AJ0-VVG	discussing	manipulate	discuss
HGT	VVG	coming	trick	come
HGT	VVG	coming	deceive	come
HGT	VVG	thinking	school	think
HGV	VVG	thinking	fascinate	think
HGV	NN1-VVG	bathing	bully	bathe
HH1	VVG	abandoning	shock	abandon
HH1	VVG	using	force	use
HH1	VVG	blurting	scare	blurt
HH1	VVG	running	frighten	run
HH3	VVG	buying	pressurise	buy
HH3	VVG	accepting	shake_up	accept
HH3	VVG	exchanging	confuse	exchange
HH3	VVG	serving	dragoon	serve
HH3	VVG	serving	dragoon	serve
HH3	VVG	recognizing	pressure	recognise
HH3	VVG	allowing	pressurise	allow
HH3	VVG	thinking	confuse	think
HH3	AJ0-VVG	spending	hoodwink	spend
HH3	AJ0-VVG	producing	force	produce
HH3	AJ0-VVG	withdrawing	pressurise	withdraw
HH7	VVG	buying	talk	buy
HH8	VVG	taking	coax	take
HHA	VVG	working	sweet-talk	work
HHA	VVG	saying	charm	say
HHA	NN1-VVG	replying	sting	reply
HHB	VVG	springing	stimulate	spring
HHB	VVG	believing	brainwash	believe
HHB	AJ0-VVG	losing	infuriate	lose
HHD	VVG	entering	talk	enter
HHE	VVG	thinking	mislead	think
HHV	VVG	making	panick	make
HHV	VVG	running	mislead	run
HHV	VVG	thinking	frighten	think
HHW	VVG	killing	provoke	kill
HHW	VVG	believing	lull	believe
HHW	VVG	supporting	bounce	support
HHW	VVG	making	lure	make
HHX	VVG	thinking	mislead	think
HHX	VVG	taking	hijack	take
HHX	VVG	entering	bully	enter
HHX	NN1-VVG	begging	drive	beg
HHX	NN1-VVG	expecting	beguile	expect
HHX	VHG	having	force	have
HHX	VVG	choosing	force	choose
HHX	NN1-VVG	smoking	recruit	smoke
HHX	VVG	believing	lead	believe
HJ3	VVG	coming	force	come
HJ4	VVG	qualifying	force	qualify
HJ4	NN1-VVG	broadcasting	con	broadcast
HJD	VVG	telling	coerce	tell
HJD	VVG	telling	bully	tell
HJD	VVG	giving	talk	give
HJD	VVG	pleading	frighten	plead
HJD	VVG	discarding	force	discard
HJD	VVG	fighting	force	fight
HJE	VVG	thinking	tempt	think
HKS	VVG	accepting	bully	accept
HKS	VVG	accepting	cajole	accept
HKU	VVG	rescinding	pressurise	rescind
HKV	VVG	making	coerce	make
HKV	VVG	taking	pressure	take
HKV	VVG	appearing	trick	appear
HKV	NN1-VVG	helping	coerce	help
HKW	VVG	bringing	pressurise	bring
HKW	VVG	hastening	pressurise	hasten
HKW	VVG	reversing	castigate	reverse
HKW	VVG	reversing	cajole	reverse
HKY	VVG	invading	mislead	invade
HKY	VVG	using	provoke	use
HL0	VDG	doing	blackmail	do
HL2	VVG	accepting	force	accept
HL2	VVG	voting	intimidate	vote
HL2	VVG	vetoing	push	veto
HL3	VVG	making	coerce	make
HL3	VVG	launching	provoke	launch
HL4	AJ0-VVG	granting	pressurise	grant
HL5	VVG	accepting	press	accept
HL6	VVG	conceding	force	concede
HL7	VVG	agreeing	sway	agree
HL9	AJ0-VVG	channelling	blackmail	channel
HLB	VVG	lending	coerce	lend
HLD	AJ0-VVG	imposing	provoke	impose
HLD	VVG	believing	mislead	believe
HLG	NN1-VVG	signing	coerce	sign
HLH	VVG	believing	mislead	believe
HLH	VVG	preventing	spur	prevent
HLH	VVG	surrendering	coerce	surrender
HLK	VVG	breaking	galvanise	break
HLL	VVG	calling	provoke	call
HLN	VVG	ending	galvanise	end
HLN	VVG	fleeing	terrorise	flee
HLR	AJ0-VVG	halting	pressurise	halt
HLR	VDG	doing	pressurise	do
HLU	VVG	working	con	work
HLW	NN1-VVG	building	prompt	build
HLW	VVG	believing	mislead	believe
HNJ	VVG	letting	wheedle	let
HNJ	VHG	having	talk	have
HNV	AJ0-VVG	expressing	lead	express
HNW	AJ0-VVG	producing	lead	produce
HNY	VVG	sharing	hypnotise	share
HNY	VVG	telling	trick	tell
HP0	VVG	changing	mock	change
HP0	NN1-VVG	making	lure	make
HP2	VVG	making	galvanise	make
HP6	VDG	doing	force	do
HPD	VVG	analysing	prompt	analyse
HPG	VVG	making	force	make
HPV	NN1-VVG	resigning	pressure	resign
HPV	AJ0-VVG	joining	provoke	join
HR2	VVG	believing	fool	believe
HR7	NN1-VVG	bedding	rush	bed
HR7	VVG	realizing	talk	realize
HR8	VVG	making	trap	make
HR8	VVG	making	provoke	make
HRA	VVG	telling	trick	tell
HRF	VVG	asking	goad	ask
HRF	VVG	thinking	fool	think
HRH	NN1-VVG	feeling	lead	feel
HRJ	VVG	issuing	provoke	issue
HRP	VVG	trying	stagemanage	try
HSF	NN1-VVG	bidding	tempt	bid
HSF	VVG	spending	embarrass	spend
HSF	VVG	working	rope	work
HSJ	VVG	lending	blackmail	lend
HSL	VVG	believing	flatter	believe
HSL	VVG	becoming	deceive	become
HSL	VVG	moving	persuade	move
HSL	VVG	proving	torture	prove
HSL	VVG	saying	push	say
HSL	VVG	making	pressurise	make
HSL	VVG	thinking	seduce	think
HTF	AJ0-VVG	maximizing	manipulate	maximise
HTF	VVG	subsuming	integrate	subsume
HTG	VVG	getting	galvanise	get
HTJ	VVG	handing	prod	hand
HTK	VVG	making	initiate	make
HTT	VVG	authorizing	bully	authorise
HTT	VVG	offering	bully	offer
HTU	VVG	working	trick	work
HTW	VVG	working	pressure	work
HUB	VVG	accepting	fool	accept
HUN	VVG	getting	bully	get
HUV	VVG	thinking	brainwash	think
HV9	VVG	thinking	fool	think
HW8	VVG	thinking	con	think
HW8	VBG	being	stun	be
HWE	VVG	believing	hoodwink	believe
HWH	VVG	thinking	fool	think
HWK	VVG	seizing	panick	seize
HWM	VVG	believing	delude	believe
HWW	VVG	compromising	manipulate	compromise
HX9	VVG	following	mislead	follow
HX9	VVG	taking	mislead	take
HX9	VVG	taking	mislead	take
HXC	VVG	rescinding	pressure	rescind
HXD	VVG	buying	deceive	buy
HXE	VVG	handing	deceive	hand
HXE	VVG	charging	deceive	charge
HXE	VVG	acting	deceive	act
HXE	VVG	believing	mislead	believe
HXE	VVG	thinking	deceive	think
HXE	VVG	giving	deceive	give
HXE	VVG	writing	deceive	write
HXE	VVG	moving	deceive	move
HXE	VVG	claiming	deceive	claim
HXE	VVG	accepting	deceive	accept
HXS	VVG	providing	delude	provide
HXS	VVG	providing	con	provide
HXS	VVG	supposing	manipulate	suppose
HXS	VVG	kissing	trick	kiss
HXT	VVG	providing	force	provide
HXT	VVG	nursing	tap	nurse
HXU	VVG	merging	coerce	merge
HXU	VVG	accepting	force	accept
HY0	VVG	taking	hoodwink	take
HY0	VVG	giving	trick	give
HY0	VVG	handing	trick	hand
HY0	VVG	disbanding	trick	disband
HY6	VVG	marrying	trick	marry
HY7	VDG	doing	provoke	do
HY9	VVG	voting	coerce	vote
HY9	VVG	forming	rally	form
HYA	VVG	clarifying	provoke	clarify
HYA	VVG	thinking	lull	think
HYA	VVG	thinking	stimulate	think
HYB	VVG	relating	energise	relate
J0S	VVG	saying	annoy	say
J0U	AJ0-VVG	underanticipating	deceive	underanticipate
J0U	VVG	thinking	delude	think
J0U	VVG	formulating	inveigle	formulate
J0V	VVG	believing	trick	believe
J15	VVG	refusing	force	refuse
J15	VVG	borrowing	force	borrow
J17	VVG	discovering	manoeuvre	discover
J17	VVG	rejecting	manoeuvre	reject
J18	VVG	occupying	force	occupy
J19	VVG	circulating	co-opt	circulate
J19	VVG	finishing	talk_down	finish
J19	VVG	losing	force	lose
J1F	VVG	thinking	dupe	think
J1J	NN1-VVG	scoring	scare	score
J1M	VVG	accepting	blackmail	accept
J2B	NN1-VVG	teaching	hijack	teach
J2B	VVG	fundraising	fling	fundraise
J2N	VVG	thinking	dupe	think
J3F	VVG	suppressing	lead	suppress
J3S	VBG	being	catapult	be
J53	AJ0-VVG	defining	force	define
J57	VVG	accepting	socialise	accept
J6P	VVG	believing	deceive	believe
J6R	VVG	believing	mislead	believe
J7E	VVG	making	coerce	make
J7L	VVG	performing	direct	perform
J9L	VVG	participating	compel	participate
J9V	VVG	accepting	browbeat	accept
JJH	VVG	behaving	socialise	behave
JJL	VVG	radicalizing	force	radicalize
JNT	VDG	doing	prompt	do
JNT	VDG	doing	prompt	do
JP0	VVG	going	con	go
JSF	VVG	believing	hoodwink	believe
JSH	VVG	believing	mislead	believe
JSY	VVG	saying	tempt	say
JXT	VVG	employing	trick	employ
JXT	VVG	employing	trick	employ
JXT	VVG	acting	talk	act
JXU	VVG	releasing	talk	release
JXU	VVG	giving	talk	give
JXU	VVG	believing	fool	believe
JXU	AJ0-VVG	thinking	lull	think
JXV	VVG	letting	goad	let
JXV	VVG	staying	frighten	stay
JXV	VDG	doing	press-gang	do
JXV	VVG	telling	scare	tell
JXV	VVG	giving	force	give
JXV	NN1-VVG	standing	frighten	stand
JXV	NN1-VVG	saying	bully	say
JXW	VVG	thinking	fool	think
JXX	AJ0-VVG	quivering	seduce	quiver
JXX	VVG	playing	force	play
JXY	VVG	going	manipulate	go
JXY	VVG	picking	manipulate	pick
JY0	VDG	doing	talk	do
JY0	NN1-VVG	co-operating	charm	co-operate
JY0	NN1-VVG	helping	thrust	help
JY2	VVG	using	trap	use
JY4	VVG	believing	seduce	believe
JY5	VVG	probing	force	probe
JY6	VVG	sharing	lure	share
JY6	VDG	doing	talk	do
JY7	VDG	doing	talk	do
JY7	VVG	seeing	delude	see
JY7	AJ0-VVG	coming	talk	come
JY8	VVG	betraying	hound	betray
JY8	VVG	thinking	sweet-talk	think
JY8	VVG	saying	pressure	say
JY8	VVG	saying	bully	say
JY9	VVG	selling	cajole	sell
JY9	VVG	making	jolt	make
JY9	VVG	believing	manipulate	believe
JY9	AJ0-VVG	panting	wow	pant
JYA	VVG	working	manipulate	work
JYA	VVG	thinking	con	think
JYA	VVG	making	dupe	make
JYA	VVG	opening	dupe	open
JYA	VVG	going	dupe	go
JYA	NN1-VVG	feeling	bewitch	feel
JYC	VVG	taking	bully	take
JYC	VVG	resuming	startle	resume
JYF	VVG	making	talk	make
JYF	VVG	volunteering	provoke	volunteer
K1B	VVG	believing	cheat	believe
K1C	VVG	flying	frighten	fly
K1E	VVG	lying	fool	lie
K1F	VVG	jumping	frighten	jump
K1H	VVG	thinking	fool	think
K1J	NN1-VVG	holding	trick	hold
K1K	AJ0-VVG	improving	shame	improve
K1N	VVG	hiding	force	hide
K1P	VVG	approving	talk	approve
K1R	VVG	going	trick	go
K1R	VVG	staying	panick	stay
K1R	VVG	treating	pressure	treat
K1U	VVG	believing	con	believe
K1U	VVG	believing	con	believe
K1U	VVG	adhereing	bully	adhere
K1V	VVG	thinking	fool	think
K1V	NN1-VVG	smoking	push	smoke
K1Y	VVG	moving	intimidate	move
K23	VVG	entering	provoke	enter
K23	VVG	going	trick	go
K24	VVG	stopping	trick	stop
K2F	VVG	writing	spur	write
K2T	NN1-VVG	selling	panick	sell
K2W	AJ0-VVG	becoming	scare	become
K35	VVG	handing	trick	hand
K35	VVG	giving	dupe	give
K35	VVG	working	pressurise	work
K47	VVG	handing	frighten	hand
K48	VVG	thinking	mislead	think
K4M	VVG	giving	scare	give
K4M	VVG	giving	coerce	give
K4M	VVG	giving	con	give
K4S	VVG	taking	batter	take
K4T	NN1-VVG	edging	force	edge
K4T	VVG	throwing	force	throw
K4T	VVG	thinking	con	think
K4T	VVG	losing	bribe	lose
K4V	VVG	thinking	fool	think
K4V	VVG	ordering	force	order
K4W	NN1-VVG	engineering	get	engineer
K4W	VVG	taking	encourage	take
K4W	VVG	accepting	pressurise	accept
K52	VVG	installing	hurry	install
K52	NN1-VVG	buying	prod	buy
K54	VVG	believing	fool	believe
K54	VVG	ensuring	badger	ensure
K55	VVG	voting	fool	vote
K57	NN1-VVG	recording	coax	record
K59	VVG	ending	terrorise	end
K59	AJ0-VVG	accepting	terrorise	accept
K5C	VVG	spending	force	spend
K5C	AJ0-VVG	accepting	frighten	accept
K5C	AJ0-VVG	letting	blackmail	let
K5C	NN1-VVG	accepting	press	accept
K5D	VVG	working	bully	work
K5D	VVG	covering	fool	cover
K5D	VVG	declaring	push	declare
K5D	VVG	making	push	make
K5D	VVG	stripping	provoke	strip
K5D	VVG	believing	trick	believe
K5D	VVG	deleting	press	delete
K5D	VVG	going	deceive	go
K5D	AJ0-VVG	supporting	force	support
K5D	NN1-VVG	speculating	draw	speculate
K5D	NN1	backing	pressurise	back
K5F	VVG	bowing	beam	bow
K5H	VVG	thinking	deceive	think
